ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc
10001,737,0.479046981473649,34979,63,6,12,2904,8,15,Mortgage,High School,Widowed,20,0.15640634
10002,411,0.44293009045749543,56459,28,7,4,17639,11,4,Rent,High School,Widowed,21,0.15996672
10003,732,0.5323139674561232,76570,26,5,8,17730,7,10,Rent,High School,Widowed,10,0.0
10004,710,0.295540978309909,86752,51,8,16,7166,16,18,Mortgage,Masters,Widowed,17,0.1505349
10005,848,0.24837778464197324,102286,29,4,8,4688,16,1,Own,High School,Widowed,26,0.0
10006,828,0.3431732780464748,72326,66,9,7,4809,13,27,Mortgage,High School,Divorced,9,0.16704217
10007,433,0.6888419576261036,117902,43,8,0,17240,15,13,Mortgage,Masters,Divorced,3,0.15873079
10008,624,0.007985355977593311,152049,34,5,7,12710,9,2,Rent,High School,Widowed,14,0.0
10009,685,0.09124618642975457,110153,65,7,7,10950,4,28,Rent,Masters,Divorced,1,0.15073611
10010,502,0.1230414873907888,156750,49,6,5,13097,3,7,Own,High School,Divorced,16,0.16858912
10011,460,0.03035633618657485,60207,41,4,4,10571,6,7,Mortgage,Masters,Widowed,16,0.0
10012,556,0.4605760533573664,25140,55,5,6,13563,18,15,Rent,Masters,Widowed,1,0.16753012
10013,844,0.5121728304538827,87135,87,9,1,9882,3,13,Rent,High School,Widowed,8,0.0
10014,743,0.09832510633334401,173959,49,7,19,8299,7,0,Mortgage,High School,Widowed,24,0.0
10015,342,0.026926079412571524,63666,87,9,9,19378,8,25,Mortgage,High School,Widowed,28,0.1641382
10016,587,0.5051635442564755,34557,67,8,8,13530,0,0,Mortgage,High School,Widowed,18,0.15841617
10017,810,0.35662820701627584,54762,81,8,19,3896,5,1,Rent,Bachelor,Widowed,5,0.16684337
10018,302,0.11422188514802434,168242,38,8,18,9034,9,13,Rent,Masters,Widowed,6,0.0
10019,561,0.6969307757468237,148137,27,8,12,12686,6,9,Rent,Bachelor,Widowed,5,0.16969493
10020,377,0.5278148223627023,166517,28,7,0,7252,10,2,Own,High School,Divorced,1,0.0
10021,726,0.17404627723095456,146746,43,6,15,12079,17,24,Mortgage,PhD,Widowed,14,0.16069987
